date,PE,PB,DividendYield
1871-01-01,11.1,,
1871-12-31,,,5.49
1872-01-01,12.07,,
1872-12-31,,,5.92
1873-01-01,11.82,,
1873-12-31,,,7.47
1874-01-01,10.13,,
1874-12-31,,,7.27
1875-01-01,10.05,,
1875-12-31,,,6.86
1876-01-01,12.62,,
1876-12-31,,,8.38
1877-01-01,12.6,,
1877-12-31,,,5.85
1878-01-01,10.8,,
1878-12-31,,,5.22
1879-01-01,11.34,,
1879-12-31,,,4.07
1880-01-01,13.13,,
1880-12-31,,,4.45
1881-01-01,12.74,,
1881-12-31,,,5.32
1882-01-01,13.48,,
1882-12-31,,,5.48
1883-01-01,13.59,,
1883-12-31,,,6.18
1884-01-01,13.2,,
1884-12-31,,,7.14
1885-01-01,13.82,,
1885-12-31,,,4.62
1886-01-01,18.91,,
1886-12-31,,,3.9
1887-01-01,16.78,,
1887-12-31,,,4.74
1888-01-01,15.1,,
1888-12-31,,,4.47
1889-01-01,19.9,,
1889-12-31,,,4.14
1890-01-01,17.98,,
1890-12-31,,,4.78
1891-01-01,16.45,,
1891-12-31,,,4.07
1892-01-01,16.09,,
1892-12-31,,,4.36
1893-01-01,15.55,,
1893-12-31,,,5.67
1894-01-01,17.16,,
1894-12-31,,,4.88
1895-01-01,25.37,,
1895-12-31,,,4.4
1896-01-01,17.31,,
1896-12-31,,,4.27
1897-01-01,19.33,,
1897-12-31,,,3.79
1898-01-01,15.58,,
1898-12-31,,,3.54
1899-01-01,16.85,,
1899-12-31,,,3.49
1900-01-01,12.71,,
1900-12-31,,,4.37
1901-01-01,14.68,,
1901-12-31,,,4.03
1902-01-01,15.9,,
1902-12-31,,,4.1
1903-01-01,13.61,,
1903-12-31,,,5.33
1904-01-01,12.68,,
1904-12-31,,,3.76
1905-01-01,16.69,,
1905-12-31,,,3.46
1906-01-01,14.57,,
1906-12-31,,,4.07
1907-01-01,12.72,,
1907-12-31,,,6.7
1908-01-01,10.49,,
1908-12-31,,,4.43
1909-01-01,15.23,,
1909-12-31,,,4.27
1910-01-01,13.31,,
1910-12-31,,,5.19
1911-01-01,12.91,,
1911-12-31,,,5.16
1912-01-01,15.22,,
1912-12-31,,,5.12
1913-01-01,13.4,,
1913-12-31,,,5.97
1914-01-01,13.48,,
1914-12-31,,,5.71
1915-01-01,13.6,,
1915-12-31,,,4.54
1916-01-01,9.99,,
1916-12-31,,,5.71
1917-01-01,6.34,,
1917-12-31,,,10.15
1918-01-01,5.74,,
1918-12-31,,,7.22
1919-01-01,7.97,,
1919-12-31,,,5.94
1920-01-01,9.61,,
1920-12-31,,,7.49
1921-01-01,9.39,,
1921-12-31,,,6.29
1922-01-01,22.58,,
1922-12-31,,,5.81
1923-01-01,12.46,,
1923-12-31,,,6.2
1924-01-01,9.05,,
1924-12-31,,,5.41
1925-01-01,11.06,,
1925-12-31,,,4.82
1926-01-01,10.13,,
1926-12-31,,,5.11
1927-01-01,10.9,,
1927-12-31,,,4.41
1928-01-01,15.47,,
1928-12-31,,,3.67
1929-01-01,17.77,,
1929-12-31,,,4.53
1930-01-01,13.94,,
1930-12-31,,,6.32
1931-01-01,17.0,,
1931-12-31,,,9.72
1932-01-01,13.99,,
1932-12-31,,,7.33
1933-01-01,17.19,,
1933-12-31,,,4.41
1934-01-01,23.73,,
1934-12-31,,,4.86
1935-01-01,16.25,,
1935-12-31,,,3.6
1936-01-01,17.87,,
1936-12-31,,,4.22
1937-01-01,16.75,,
1937-12-31,,,7.26
1938-01-01,10.5,,
1938-12-31,,,4.02
1939-01-01,18.84,,
1939-12-31,,,5.01
1940-01-01,13.23,,
1940-12-31,,,6.36
1941-01-01,10.02,,
1941-12-31,,,8.11
1942-01-01,7.97,,
1942-12-31,,,6.2
1943-01-01,9.67,,
1943-12-31,,,5.31
1944-01-01,12.65,,
1944-12-31,,,4.89
1945-01-01,14.35,,
1945-12-31,,,3.81
1946-01-01,19.17,,
1946-12-31,,,4.69
1947-01-01,13.46,,
1947-12-31,,,5.59
1948-01-01,9.02,,
1948-12-31,,,6.12
1949-01-01,6.62,,
1949-12-31,,,6.89
1950-01-01,7.22,,
1950-12-31,,,7.44
1951-01-01,7.48,,
1951-12-31,,,6.02
1952-01-01,9.97,,
1952-12-31,,,5.41
1953-01-01,10.86,,
1953-12-31,,,5.84
1954-01-01,10.09,,
1954-12-31,,,4.4
1955-01-01,12.56,,
1955-12-31,,,3.61
1956-01-01,12.12,,
1956-12-31,,,3.75
1957-01-01,13.34,,
1957-12-31,,,4.44
1958-01-01,12.49,,
1958-12-31,,,3.27
1959-01-01,18.77,,
1959-12-31,,,3.1
1960-01-01,17.12,,
1960-12-31,,,3.43
1961-01-01,18.6,,
1961-12-31,,,2.82
1962-01-01,21.25,,
1962-12-31,,,3.4
1963-01-01,17.66,,
1963-12-31,,,3.07
1964-01-01,18.77,,
1964-12-31,,,2.98
1965-01-01,18.75,,
1965-12-31,,,2.97
1966-01-01,17.81,,
1966-12-31,,,3.53
1967-01-01,15.31,,
1967-12-31,,,3.06
