date,PE,PB,DividendYield
2006-01-01,17.57,1.75,5.4
2006-02-01,17.62,1.77,5.34
2006-03-01,18.73,1.76,5.33
2006-04-01,19.6344005907562,1.87040652043676,4.51582140134358
2006-05-01,17.0,1.68,4.73
2006-06-01,16.82,1.66,5.21
2006-07-01,16.28,1.6,5.0
2006-08-01,15.9723185889065,1.7023940289596,5.00027161231466
2006-09-01,16.12,1.78,4.85
2006-10-01,16.2117133635295,1.7625039918907,4.73157628536894
2006-11-01,17.92,1.89,4.4
2006-12-01,18.9826246287128,1.97509995469792,4.21467989980751
2007-01-01,18.66,1.94,4.27
2007-02-01,19.1,1.99,4.16
2007-03-01,18.71,1.97,4.22
2007-04-01,17.8901247879574,1.83962278615418,4.33943135424707
2007-05-01,18.47,1.9,4.29
2007-06-01,20.26,2.06,3.93
2007-07-01,21.28,2.16,3.81
2007-08-01,18.7212918457611,2.15476359961867,4.06386275641418
2007-09-01,19.51,2.35,3.77
2007-10-01,17.660819864421,2.24758598966189,3.73897190681194
2007-11-01,15.36,1.98,4.26
2007-12-01,15.31,1.95,4.22
2008-01-01,13.57,1.73,4.77
2008-02-01,15.26,1.93,4.21
2008-03-01,15.52,1.95,4.65
2008-04-01,14.9584592353261,1.97081353988037,4.5398690357636
2008-05-01,14.66,1.9,4.89
2008-06-01,12.81,1.66,5.71
2008-07-01,11.97,1.56,6.24
2008-08-01,12.5317950907589,1.69468304154616,6.28342922322035
2008-09-01,10.14,1.37,7.83
2008-10-01,10.2023810383767,1.15119586973908,9.26483488544846
2008-11-01,9.53,1.06,10.12
2008-12-01,9.8,1.09,9.83
2009-01-01,9.05,1.01,10.53
2009-02-01,9.69,1.08,9.77
2009-03-01,13.89,1.24,6.23
2009-04-01,41.81,1.42303184885647,3.75762392936194
2009-05-01,62.12,1.64,3.26
2009-06-01,58.08,1.53,3.49
2009-07-01,63.52,1.69,3.15
2009-08-01,103.770639450566,1.66421418940843,3.33568241536128
2009-09-01,100.17,1.83,3.05
2009-10-01,73.82,1.73,3.11
2009-11-01,97.95,1.77,2.99
2009-12-01,110.54,1.91,2.76
2010-01-01,124.72,1.81,2.83
2010-02-01,106.55,1.77,2.9
2010-03-01,40.38,1.89,3.39
2010-04-01,18.01,1.75,3.43
2010-05-01,16.3,1.63,4.3
2010-06-01,16.1,1.61,4.31
2010-07-01,17.0,1.71,4.09
2010-08-01,14.2,1.73,4.24
2010-09-01,15.37,1.87,3.92
2010-10-01,14.63,1.81,3.9
2010-11-01,14.89,1.81,3.86
2010-12-01,16.04,1.95,3.58
2011-01-01,16.41,2.0,3.44
2011-02-01,15.49,1.88,3.75
2011-03-01,15.12,1.88,4.26
2011-04-01,16.65,1.88,4.26
2011-05-01,16.39,1.87,4.3
2011-06-01,15.85,1.8,4.51
2011-07-01,15.86,1.81,4.57
2011-08-01,15.45,1.71,5.16
2011-09-01,14.01,1.58,5.57
2011-10-01,16.78,1.62,5.3
2011-11-01,15.29,1.48,5.83
2011-12-01,15.76,1.54,5.65
2012-01-01,16.74,1.64,5.31
2012-02-01,18.11,1.77,4.9
2012-03-01,20.68,1.69,4.13
2012-04-01,22.72,1.58,4.26
2012-05-01,21.67,1.53,4.28
2012-06-01,21.68,1.53,4.26
2012-07-01,21.74,1.53,4.29
2012-08-01,24.47,1.62,4.27
2012-09-01,25.21,1.7,4.11
2012-10-01,22.5,1.54,4.42
2012-11-01,23.2,1.62,4.19
2012-12-01,23.62,1.65,4.12
2013-01-01,24.0,1.68,4.04
2013-02-01,23.58,1.69,4.01
2013-03-01,21.23,1.66,3.73
2013-04-01,21.72,1.69,3.53
2013-05-01,20.12,1.7,3.35
2013-06-01,19.66,1.66,3.43
2013-07-01,19.86,1.67,3.41
2013-08-01,18.14,1.69,3.49
2013-09-01,18.45,1.72,3.45
2013-10-01,19.18,1.79,3.34
2013-11-01,17.54,1.73,3.34
2013-12-01,18.04,1.77,3.26
2014-01-01,18.48,1.74,3.33
2014-02-01,18.64,1.78,3.26
2014-03-01,17.55,1.75,3.47
2014-04-01,17.43,1.74,3.61
2014-05-01,17.75,1.71,3.61
2014-06-01,18.38,1.77,3.47
2014-07-01,18.23,1.76,3.51
2014-08-01,17.34,1.81,3.53
2014-09-01,16.5,1.73,3.72
2014-10-01,16.43,1.74,3.71
2014-11-01,15.26,1.72,3.61
2014-12-01,15.42,1.74,3.55
2015-01-01,15.54,1.76,3.53
2015-02-01,15.51,1.79,3.58
2015-03-01,15.72,1.71,3.68
2015-04-01,16.08,1.75,3.8
2015-05-01,15.12,1.69,3.93
2015-06-01,14.56,1.62,4.04
2015-07-01,13.56,1.51,4.37
2015-08-01,12.55,1.49,4.66
2015-09-01,12.54,1.5,4.68
2015-10-01,13.15,1.57,4.49
2015-11-01,13.42,1.49,4.61
2015-12-01,13.46,1.49,4.6
2016-01-01,13.13,1.45,4.71
2016-02-01,13.97,1.5,4.71
2016-03-01,14.69,1.53,4.66
2016-04-01,14.04,1.46,4.84
2016-05-01,15.3,1.46,4.69
2016-06-01,15.53,1.48,4.54
2016-07-01,16.11,1.54,4.39
2016-08-01,17.12,1.62,4.37
2016-09-01,17.28,1.64,4.36
2016-10-01,17.47,1.66,4.31
2016-11-01,16.7,1.62,4.36
2016-12-01,16.51,1.61,4.35
2017-01-01,16.86,1.65,4.26
2017-02-01,17.13,1.69,4.23
2017-03-01,16.1,1.66,4.36
2017-04-01,16.06,1.67,4.32
2017-05-01,15.66,1.67,4.17
2017-06-01,16.22,1.73,4.04
2017-07-01,16.4,1.74,4.03
2017-08-01,16.27,1.81,3.99
2017-09-01,15.97,1.78,4.08
2017-10-01,16.69,1.86,3.9
2017-11-01,15.5,1.75,3.99
2017-12-01,15.66,1.76,3.95
2018-01-01,16.35,1.84,3.79
2018-02-01,15.94,1.78,4.07
2018-03-01,15.58,1.75,4.3
2018-04-01,15.36,1.72,4.42
2018-05-01,14.99,1.69,4.26
2018-06-01,14.95,1.69,4.26
2018-07-01,15.21,1.73,4.19
2018-08-01,14.59,1.76,4.2
2018-09-01,14.57,1.75,4.23
2018-10-01,13.31,1.61,4.82
2018-11-01,13.52,1.58,4.77
2018-12-01,12.74,1.51,4.77
2019-01-01,13.01,1.54,4.67
2019-02-01,13.74,1.6,4.46
2019-03-01,15.22,1.64,4.33
2019-04-01,15.67,1.69,4.22
