date,price,shares,invested,value,monthly_invest,return_pct,資料來源_股價,資料來源_基本面,資料來源_策略
2006-01-31,6532.14990234375,0.1530889546244488,1000.0,1000.0,1000.0,0.0,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-02-28,6561.599609375,0.3048037245586373,1995.4915751365895,2000.0,995.4915751365896,0.22593053859933662,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-03-31,6613.93994140625,0.4535874269463267,2979.5380469888287,2999.9999999999995,984.0464718522392,0.6867491768346458,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-04-30,7171.73681640625,0.5577449511043819,3726.528397698877,3999.999999999999,746.9903507100485,7.338508475341018,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-05-31,6846.91845703125,0.730255520257495,4907.694197666293,5000.0,1181.1657999674153,1.8808385081857866,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-06-30,6704.37890625,0.8949374854703753,6011.784491479324,6000.0,1104.0902938130312,-0.1960231857284066,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-07-31,6454.55029296875,1.0845062292915175,7235.365482447796,7000.0,1223.5809909684722,-3.25298677749959,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-08-31,6611.73974609375,1.2099689805132516,8064.892541354807,8000.0,829.5270589070105,-0.8046299565933908,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-09-30,6883.01806640625,1.3075659417379777,8736.654188690944,9000.000000000002,671.7616473361377,3.0142638774685975,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
2006-10-31,7021.2880859375,1.4242400934991368,9555.857020388436,10000.0,819.202831697492,4.64786129244021,Yahoo Finance (^TWII) -> data/taiex_price.csv,N/A（僅使用股價）,scripts/experiments/walkforward_yearly_calibration.py::run_market(Value Averaging)
